id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
2511,Postes C5,2019-09-15,19.4321,-99.13528,CENTRO IV,CUAUHTEMOC
2512,Postes C5,2019-03-15,19.4333,-99.13413,CENTRO IV,CUAUHTEMOC
2513,Postes C5,2020-01-15,19.4307,-99.13226,CENTRO IV,CUAUHTEMOC
2514,Postes C5,2019-08-15,19.43015,-99.13375,CENTRO IV,CUAUHTEMOC
2515,Postes C5,2019-08-15,19.43108,-99.13455,CENTRO IV,CUAUHTEMOC
2516,Postes C5,2019-06-15,19.43029,-99.1346,CENTRO IV,CUAUHTEMOC
2517,Postes C5,2020-02-15,19.43842,-99.14037,GUERRERO IV,CUAUHTEMOC
2518,Postes C5,2019-07-15,19.43003,-99.1399,CENTRO IV,CUAUHTEMOC
2519,Postes C5,2019-06-15,19.41473,-99.16024,ROMA NORTE III,CUAUHTEMOC
2520,Postes C5,2019-07-15,19.43095,-99.13869,CENTRO IV,CUAUHTEMOC
2521,Postes C5,2019-10-15,19.42874,-99.1305,CENTRO VII,CUAUHTEMOC
2522,Postes C5,2019-08-15,19.42941,-99.13486,CENTRO IV,CUAUHTEMOC
2523,Postes C5,2019-11-15,19.42925,-99.13261,CENTRO IV,CUAUHTEMOC
2524,Postes C5,2019-12-15,19.42948,-99.14143,CENTRO IV,CUAUHTEMOC
2525,Postes C5,2019-08-15,19.42852,-99.13695,CENTRO V,CUAUHTEMOC
2526,Postes C5,2019-05-15,19.4284,-99.13382,CENTRO IV,CUAUHTEMOC
2527,Postes C5,2019-12-15,19.42817,-99.13257,CENTRO VII,CUAUHTEMOC
2528,Postes C5,2019-11-15,19.42821,-99.13912,CENTRO V,CUAUHTEMOC
2529,Postes C5,2019-10-15,19.42766,-99.13509,CENTRO V,CUAUHTEMOC
2530,Postes C5,2019-12-15,19.42584,-99.13143,CENTRO VI,CUAUHTEMOC
2531,Postes C5,2019-06-15,19.41477,-99.14994,DOCTORES IV,CUAUHTEMOC
2532,Postes C5,2019-08-15,19.42704,-99.13713,CENTRO V,CUAUHTEMOC
2533,Postes C5,2019-12-15,19.42675,-99.13424,CENTRO V,CUAUHTEMOC
2534,Postes C5,2019-09-15,19.42655,-99.13932,CENTRO VI,CUAUHTEMOC
2535,Postes C5,2019-08-15,19.42589,-99.13527,CENTRO VI,CUAUHTEMOC
2537,Postes C5,2020-06-15,19.42595,-99.13062,CENTRO VI,CUAUHTEMOC
2538,Postes C5,2019-11-15,19.42514,-99.13742,CENTRO VI,CUAUHTEMOC
2539,Postes C5,2019-09-15,19.42465,-99.13429,CENTRO VI,CUAUHTEMOC
2540,Postes C5,2020-01-15,19.42409,-99.13752,CENTRO VI,CUAUHTEMOC
2541,Postes C5,2019-06-15,19.42988,-99.13869,CENTRO IV,CUAUHTEMOC
2542,Postes C5,2019-06-15,19.43537,-99.12969,CENTRO IV,CUAUHTEMOC
2543,Postes C5,2019-08-15,19.43328,-99.12986,CENTRO VII,CUAUHTEMOC
2544,Postes C5,2019-08-15,19.43134,-99.13024,CENTRO IV,CUAUHTEMOC
2545,Postes C5,2019-08-15,19.40854,-99.13129,ASTURIAS (AMPL),CUAUHTEMOC
2546,Postes C5,2019-05-15,19.44368,-99.1257,MORELOS II,CUAUHTEMOC
2547,Postes C5,2019-06-15,19.44672,-99.12532,MORELOS I,VENUSTIANO CARRANZA
2548,Postes C5,2019-12-15,19.44954,-99.12723,MORELOS II,CUAUHTEMOC
2549,Postes C5,2019-06-15,19.44974,-99.12863,MORELOS I,CUAUHTEMOC
2550,Postes C5,2019-08-15,19.40707,-99.14478,NA,NA
2551,Postes C5,2019-03-15,19.45035,-99.13171,MORELOS I,CUAUHTEMOC
2552,Postes C5,2019-12-15,19.44899,-99.13231,MORELOS I,CUAUHTEMOC
2553,Postes C5,2019-07-15,19.44722,-99.13028,MORELOS I,CUAUHTEMOC
2554,Postes C5,2020-06-15,19.44706,-99.12919,MORELOS I,CUAUHTEMOC
2555,Postes C5,2019-03-15,19.44811,-99.13027,MORELOS I,CUAUHTEMOC
2556,Postes C5,2019-10-15,19.44877,-99.12875,MORELOS II,CUAUHTEMOC
2557,Postes C5,2019-04-15,19.44761,-99.12767,MORELOS II,CUAUHTEMOC
2558,Postes C5,2020-02-15,19.44783,-99.12893,MORELOS II,CUAUHTEMOC
2559,Postes C5,2019-03-15,19.41285,-99.17787,CONDESA,CUAUHTEMOC
2560,Postes C5,2019-11-15,19.44418,-99.13279,MORELOS III,CUAUHTEMOC
2561,Postes C5,2019-04-15,19.44502,-99.12462,MORELOS II,CUAUHTEMOC
2562,Postes C5,2020-01-15,19.44292,-99.12743,CENTRO I,CUAUHTEMOC
2563,Postes C5,2020-06-15,19.44496,-99.12955,MORELOS III,CUAUHTEMOC
2564,Postes C5,2019-05-15,19.44703,-99.14718,BUENAVISTA I,CUAUHTEMOC
2565,Postes C5,2020-06-15,19.4431,-99.13075,CENTRO I,CUAUHTEMOC
2566,Postes C5,2019-11-15,19.44494,-99.1328,MORELOS III,CUAUHTEMOC
2567,Postes C5,2019-10-15,19.45017,-99.12562,MORELOS II,CUAUHTEMOC
2568,Postes C5,2020-05-15,19.44585,-99.12945,MORELOS III,CUAUHTEMOC
2569,Postes C5,2019-05-15,19.45094,-99.12994,MORELOS I,CUAUHTEMOC
2570,Postes C5,2019-03-15,19.45076,-99.12834,MORELOS I,CUAUHTEMOC
